"id","fqdn/ip","port","severity","finding","cve","cwe"
"cert_extlifeSpan","www.univ-evry.fr/194.199.84.39","443","OK","certificate has no extended life time according to browser forum","",""
"cert_eTLS","www.univ-evry.fr/194.199.84.39","443","INFO","not present","",""
"cert_crlDistributionPoints","www.univ-evry.fr/194.199.84.39","443","INFO","http://crl.harica.gr/HARICA-GEANT-TLS-E1.crl","",""
"cert_ocspURL","www.univ-evry.fr/194.199.84.39","443","INFO","http://ocsp-tls.harica.gr","",""
"OCSP_stapling","www.univ-evry.fr/194.199.84.39","443","LOW","not offered","",""
"cert_mustStapleExtension","www.univ-evry.fr/194.199.84.39","443","INFO","--","",""
"DNS_CAArecord","www.univ-evry.fr/194.199.84.39","443","OK","issue=harica.gr, issue=letsencrypt.org, issuewild=harica.gr, issuewild=letsencrypt.org","",""
"certificate_transparency","www.univ-evry.fr/194.199.84.39","443","OK","yes (certificate extension)","",""
"certs_countServer","www.univ-evry.fr/194.199.84.39","443","INFO","3","",""
"certs_list_ordering_problem","www.univ-evry.fr/194.199.84.39","443","INFO","no","",""
"cert_caIssuers","www.univ-evry.fr/194.199.84.39","443","INFO","GEANT TLS ECC 1 (Hellenic Academic and Research Institutions CA from GR)","",""
"intermediate_cert <#1>","www.univ-evry.fr/194.199.84.39","443","INFO","-----BEGIN CERTIFICATE-----\nMIIDNzCCArygAwIBAgIQQv3c4SYWB+Gl5pNaQAFh3TAKBggqhkjOPQQDAzBsMQswCQYDVQQGEwJHUjE3MDUGA1UECgwuSGVsbGVuaWMgQWNhZGVtaWMgYW5kIFJlc2VhcmNoIEluc3RpdHV0aW9ucyBDQTEkMCIGA1UEAwwbSEFSSUNBIFRMUyBFQ0MgUm9vdCBDQSAyMDIxMB4XDTI1MDEwMzExMTQyMVoXDTM5MTIzMTExMTQyMFowYDELMAkGA1UEBhMCR1IxNzA1BgNVBAoMLkhlbGxlbmljIEFjYWRlbWljIGFuZCBSZXNlYXJjaCBJbnN0aXR1dGlvbnMgQ0ExGDAWBgNVBAMMD0dFQU5UIFRMUyBFQ0MgMTB2MBAGByqGSM49AgEGBSuBBAAiA2IABANPWLwh0Za2UqtbLV7/qNRm78zsttgSuvhn73bUGtxETsVOEZeMUfMjgHw8EwrsSJI9oj0CgZQFFSEY1NJfcxA/NJiOYJUKPsFbpOrYdr0q4g+aBZsXWeh7bMCzx24g/aOCAS0wggEpMBIGA1UdEwEB/wQIMAYBAf8CAQAwHwYDVR0jBBgwFoAUyRtTgRL+BNUW0aq8mm+3oJUZbsowTQYIKwYBBQUHAQEEQTA/MD0GCCsGAQUFBzAChjFodHRwOi8vY3J0LmhhcmljYS5nci9IQVJJQ0EtVExTLVJvb3QtMjAyMS1FQ0MuY2VyMBEGA1UdIAQKMAgwBgYEVR0gADAdBgNVHSUEFjAUBggrBgEFBQcDAgYIKwYBBQUHAwEwQgYDVR0fBDswOTA3oDWgM4YxaHR0cDovL2NybC5oYXJpY2EuZ3IvSEFSSUNBLVRMUy1Sb290LTIwMjEtRUNDLmNybDAdBgNVHQ4EFgQU6ZkGjRcfq/uWGlrIW15dXuzanI8wDgYDVR0PAQH/BAQDAgGGMAoGCCqGSM49BAMDA2kAMGYCMQD2M1caaY2OwmthgmANUQg3LBLI0/2LiCdxa2zNq0G59wVzbjEk0cR/px52OegIwRACMQCk+iTmBlR6Xfv6igiiaFiPYfN2HfbcYLWbot5DZ2H1b4JVJV+Vrga7uu50SDG9hf4=\n-----END CERTIFICATE-----","",""
"intermediate_cert_fingerprintSHA256 <#1>","www.univ-evry.fr/194.199.84.39","443","INFO","6CDF0BA1711E856D228BA00CA04C5C1C3D79944C037B713B155A4EE4B47EC53C","",""
"intermediate_cert_notBefore <#1>","www.univ-evry.fr/194.199.84.39","443","INFO","2025-01-03 11:14","",""
"intermediate_cert_notAfter <#1>","www.univ-evry.fr/194.199.84.39","443","OK","2039-12-31 11:14","",""
"intermediate_cert_expiration <#1>","www.univ-evry.fr/194.199.84.39","443","OK","ok > 40 days","",""
"intermediate_cert_chain <#1>","www.univ-evry.fr/194.199.84.39","443","INFO","GEANT TLS ECC 1 <-- HARICA TLS ECC Root CA 2021","",""
